participant.ID,gender,age,comp.context,level,winner.name,reward_str,reward_bin,athleticism.perception,intelligence.perception
1,cisgender_woman,17,athletic,elementary,Jamie,winner,1,2,2
2,cisgender_woman,18,athletic,elementary,Jamie,winner,1,1,1
3,cisgender_man,18,athletic,elementary,Jamie,winner,1,1,1
4,cisgender_woman,19,athletic,elementary,Jamie,winner,1,2,1
5,cisgender_woman,18,athletic,elementary,Jamie,winner,1,1,1
6,cisgender_woman,18,athletic,elementary,Jamie,winner,1,2,2
7,cisgender_woman,19,athletic,elementary,Jamie,winner,1,3,2
8,cisgender_woman,18,athletic,elementary,Jamie,winner,1,1,1
9,cisgender_woman,18,athletic,elementary,Jamie,winner,1,0.5,0.5
10,cisgender_woman,18,athletic,elementary,Jamie,winner,1,1,2
11,cisgender_woman,18,athletic,elementary,Jamie,winner,1,2,2
12,pnts,19,athletic,elementary,Jamie,winner,1,2,1
13,cisgender_woman,18,athletic,elementary,Jamie,loser,0,1,2
14,cisgender_man,18,athletic,elementary,Jamie,winner,1,1,2
15,cisgender_man,18,athletic,elementary,Jamie,winner,1,1,2
16,cisgender_woman,18,athletic,elementary,Jamie,winner,1,1,2
17,cisgender_woman,18,athletic,elementary,Jamie,winner,1,3,1
18,cisgender_woman,18,athletic,elementary,Jamie,winner,1,2,3
19,cisgender_man,23,athletic,elementary,Jamie,winner,1,1,2
20,cisgender_woman,19,athletic,elementary,Jamie,winner,1,2,1
21,gender_fluid,20,athletic,elementary,Jamie,winner,1,2,1
22,cisgender_man,18,athletic,elementary,Jamie,winner,1,1,0.5
23,cisgender_woman,18,athletic,elementary,Jamie,winner,1,1,1
24,cisgender_woman,18,athletic,elementary,Jamie,winner,1,2,2
25,pnts,20,athletic,elementary,Morgan,winner,1,3,2
26,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,2
27,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,1
28,cisgender_woman,18,athletic,elementary,Morgan,winner,1,1,0.5
29,cisgender_woman,20,athletic,elementary,Morgan,loser,0,2,1
30,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,1
31,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,2
32,cisgender_man,21,athletic,elementary,Morgan,winner,1,1,2
33,cisgender_man,19,athletic,elementary,Morgan,winner,1,2,1
34,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,2
35,cisgender_man,18,athletic,elementary,Morgan,winner,1,2,1
36,cisgender_man,18,athletic,elementary,Morgan,winner,1,2,1
37,cisgender_woman,18,athletic,elementary,Morgan,winner,1,1,2
38,cisgender_woman,18,athletic,elementary,Morgan,winner,1,1,2
39,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,2
40,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,3
41,cisgender_woman,18,athletic,elementary,Morgan,loser,0,2,2
42,cisgender_woman,18,athletic,elementary,Morgan,winner,1,3,2
43,cisgender_woman,18,athletic,elementary,Morgan,winner,1,1,2
44,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,3
45,cisgender_woman,18,athletic,elementary,Morgan,winner,1,2,2
46,cisgender_man,18,athletic,elementary,Morgan,loser,0,2,2
47,cisgender_woman,18,athletic,elementary,Morgan,winner,1,1,2
48,cisgender_woman,18,athletic,highschool,Jamie,winner,1,1,1
49,cisgender_woman,18,athletic,highschool,Jamie,winner,1,1,2
50,cisgender_woman,18,athletic,highschool,Jamie,loser,0,2,3
51,cisgender_man,18,athletic,highschool,Jamie,winner,1,1,1
52,cisgender_man,18,athletic,highschool,Jamie,winner,1,2,1
53,cisgender_man,18,athletic,highschool,Jamie,winner,1,2,2
54,cisgender_woman,19,athletic,highschool,Jamie,winner,1,1,1
55,cisgender_man,18,athletic,highschool,Jamie,winner,1,1,2
56,cisgender_woman,18,athletic,highschool,Jamie,winner,1,0.5,2
57,cisgender_man,18,athletic,highschool,Jamie,winner,1,1,2
58,cisgender_woman,18,athletic,highschool,Jamie,winner,1,3,0.5
59,cisgender_man,19,athletic,highschool,Jamie,winner,1,2,2
60,cisgender_woman,18,athletic,highschool,Jamie,winner,1,3,1
61,cisgender_woman,18,athletic,highschool,Jamie,winner,1,1,1
62,cisgender_woman,18,athletic,highschool,Jamie,winner,1,1,2
63,nonbinary,18,athletic,highschool,Jamie,winner,1,1,2
64,cisgender_woman,18,athletic,highschool,Jamie,winner,1,2,1
65,cisgender_woman,18,athletic,highschool,Jamie,winner,1,1,1
66,cisgender_man,18,athletic,highschool,Jamie,winner,1,2,1
67,cisgender_woman,19,athletic,highschool,Jamie,winner,1,2,0.5
68,cisgender_man,19,athletic,highschool,Jamie,winner,1,1,1
69,cisgender_woman,19,athletic,highschool,Jamie,loser,0,1,2
70,cisgender_man,18,athletic,highschool,Morgan,winner,1,2,1
71,cisgender_woman,19,athletic,highschool,Morgan,loser,0,3,1
72,cisgender_woman,18,athletic,highschool,Morgan,winner,1,2,3
73,cisgender_woman,18,athletic,highschool,Morgan,winner,1,1,2
74,cisgender_woman,19,athletic,highschool,Morgan,winner,1,2,1
75,cisgender_woman,18,athletic,highschool,Morgan,winner,1,1,2
76,cisgender_woman,18,athletic,highschool,Morgan,winner,1,3,2
77,cisgender_woman,18,athletic,highschool,Morgan,winner,1,3,3
78,cisgender_woman,18,athletic,highschool,Morgan,winner,1,1,2
79,pnts,19,athletic,highschool,Morgan,winner,1,1,1
80,cisgender_woman,20,athletic,highschool,Morgan,winner,1,1,2
