participant.ID,experiment,gender,age,comp.context,level,winner.name,athleticism.perception,intelligence.perception
1,1,cisgender woman,18,Athletic,Elementary,Jamie,2,1
2,1,cisgender woman,18,Athletic,Elementary,Jamie,2,1
3,1,cisgender woman,19,Athletic,Elementary,Jamie,2,2
4,1,cisgender woman,Greater than 23,Athletic,Elementary,Jamie,2,1
5,1,cisgender man,18,Athletic,Elementary,Jamie,1,1
6,1,cisgender woman,18,Athletic,Elementary,Jamie,1,0.5
7,1,cisgender woman,18,Athletic,Elementary,Jamie,2,2
8,1,cisgender woman,20,Athletic,Elementary,Jamie,3,2
9,1,cisgender woman,18,Athletic,Elementary,Jamie,2,1
10,1,cisgender woman,19,Athletic,Elementary,Jamie,2,2
11,1,cisgender woman,18,Athletic,Elementary,Jamie,2,2
12,1,cisgender woman,18,Athletic,Elementary,Jamie,3,3
13,1,cisgender woman,19,Athletic,Elementary,Jamie,1,1
14,1,cisgender man,18,Athletic,Elementary,Jamie,2,2
15,1,cisgender woman,18,Athletic,Elementary,Jamie,1,2
16,1,cisgender man,18,Athletic,Elementary,Jamie,1,1
17,1,cisgender woman,18,Athletic,Elementary,Jamie,2,2
18,1,cisgender man,18,Athletic,Elementary,Jamie,1,0.5
19,1,cisgender man,18,Athletic,Elementary,Jamie,1,1
20,1,cisgender man,18,Athletic,Elementary,Jamie,0.33,0.33
21,1,cisgender woman,18,Athletic,Elementary,Morgan,1,2
22,1,cisgender woman,19,Athletic,Elementary,Morgan,1,1
23,1,prefer not to say,18,Athletic,Elementary,Morgan,2,3
24,1,cisgender woman,18,Athletic,Elementary,Morgan,1,2
25,1,cisgender woman,18,Athletic,Elementary,Morgan,2,2
26,1,cisgender woman,19,Athletic,Elementary,Morgan,2,3
27,1,cisgender man,18,Athletic,Elementary,Morgan,2,0.5
28,1,transgender man,19,Athletic,Elementary,Morgan,3,0.33
29,1,cisgender woman,17,Athletic,Elementary,Morgan,1,1
30,1,cisgender woman,18,Athletic,Elementary,Morgan,1,2
31,1,cisgender woman,18,Athletic,Elementary,Morgan,2,1
32,1,cisgender woman,18,Athletic,Elementary,Morgan,1,0.5
33,1,cisgender woman,18,Athletic,Elementary,Morgan,1,1
34,1,cisgender man,18,Athletic,Elementary,Morgan,2,2
35,1,cisgender woman,18,Athletic,Elementary,Morgan,2,0.5
36,1,cisgender woman,18,Athletic,Elementary,Morgan,1,0.5
37,1,cisgender man,19,Athletic,Elementary,Morgan,2,2
38,1,cisgender man,19,Athletic,Elementary,Morgan,0.5,0.5
39,1,cisgender man,17,Athletic,Elementary,Morgan,2,1
40,1,cisgender man,18,Athletic,Elementary,Morgan,2,3
41,1,cisgender woman,18,Athletic,High school,Jamie,3,3
42,1,cisgender woman,17,Athletic,High school,Jamie,1,1
43,1,cisgender woman,17,Athletic,High school,Jamie,1,2
44,1,cisgender woman,17,Athletic,High school,Jamie,2,2
45,1,cisgender woman,18,Athletic,High school,Jamie,0.33,0.5
46,1,cisgender woman,18,Athletic,High school,Jamie,1,1
47,1,cisgender woman,18,Athletic,High school,Jamie,2,1
48,1,cisgender man,18,Athletic,High school,Jamie,1,2
49,1,cisgender woman,18,Athletic,High school,Jamie,1,1
50,1,cisgender woman,18,Athletic,High school,Jamie,2,1
51,1,cisgender woman,18,Athletic,High school,Jamie,2,1
52,1,nonbinary,18,Athletic,High school,Jamie,1,1
53,1,cisgender man,18,Athletic,High school,Jamie,3,2
54,1,cisgender woman,18,Athletic,High school,Jamie,2,1
55,1,cisgender man,18,Athletic,High school,Jamie,1,2
56,1,cisgender man,20,Athletic,High school,Jamie,2,2
57,1,cisgender woman,19,Athletic,High school,Jamie,2,1
58,1,cisgender woman,18,Athletic,High school,Jamie,2,0.33
59,1,cisgender man,18,Athletic,High school,Jamie,2,1
60,1,cisgender man,18,Athletic,High school,Jamie,1,2
61,1,cisgender man,17,Athletic,High school,Jamie,2,1
62,1,cisgender man,21,Athletic,High school,Jamie,1,2
63,1,cisgender woman,19,Athletic,High school,Morgan,2,1
64,1,cisgender woman,18,Athletic,High school,Morgan,1,0.5
65,1,cisgender woman,18,Athletic,High school,Morgan,0.5,0.5
66,1,cisgender woman,18,Athletic,High school,Morgan,2,3
67,1,cisgender woman,18,Athletic,High school,Morgan,1,2
68,1,cisgender man,18,Athletic,High school,Morgan,1,2
69,1,cisgender woman,18,Athletic,High school,Morgan,1,2
70,1,cisgender man,18,Athletic,High school,Morgan,1,2
71,1,cisgender woman,17,Athletic,High school,Morgan,2,1
72,1,cisgender woman,18,Athletic,High school,Morgan,2,1
73,1,cisgender woman,17,Athletic,High school,Morgan,2,2
74,1,cisgender woman,18,Athletic,High school,Morgan,1,1
75,1,cisgender woman,18,Athletic,High school,Morgan,1,1
76,1,cisgender man,17,Athletic,High school,Morgan,1,2
77,1,cisgender man,18,Athletic,High school,Morgan,1,0.5
78,1,cisgender man,18,Athletic,High school,Morgan,2,3
79,1,cisgender man,17,Athletic,High school,Morgan,1,1
80,1,cisgender man,18,Athletic,High school,Morgan,1,2
81,1,cisgender man,Greater than 23,Athletic,High school,Morgan,1,1
82,1,cisgender man,18,Athletic,High school,Morgan,1,3
83,1,cisgender man,Less than 17,Academic,Elementary,Jamie,1,1
84,1,cisgender woman,17,Academic,Elementary,Jamie,3,3
85,1,cisgender woman,18,Academic,Elementary,Jamie,1,3
86,1,cisgender woman,19,Academic,Elementary,Jamie,2,2
87,1,cisgender woman,18,Academic,Elementary,Jamie,1,1
88,1,cisgender woman,19,Academic,Elementary,Jamie,1,1
89,1,cisgender man,18,Academic,Elementary,Jamie,1,1
90,1,cisgender woman,17,Academic,Elementary,Jamie,1,1
91,1,cisgender woman,18,Academic,Elementary,Jamie,1,1
92,1,prefer not to say,18,Academic,Elementary,Jamie,2,0.5
93,1,cisgender woman,17,Academic,Elementary,Jamie,2,2
94,1,cisgender man,19,Academic,Elementary,Jamie,1,2
95,1,cisgender woman,17,Academic,Elementary,Jamie,2,2
96,1,cisgender woman,Greater than 23,Academic,Elementary,Jamie,2,2
97,1,cisgender woman,18,Academic,Elementary,Jamie,1,2
98,1,cisgender woman,18,Academic,Elementary,Jamie,1,0.5
99,1,cisgender man,18,Academic,Elementary,Jamie,2,3
100,1,cisgender man,18,Academic,Elementary,Jamie,2,1
101,1,cisgender man,Greater than 23,Academic,Elementary,Jamie,2,1
102,1,cisgender man,18,Academic,Elementary,Jamie,2,1
103,1,cisgender man,18,Academic,Elementary,Jamie,1,3
104,1,cisgender man,22,Academic,Elementary,Jamie,2,2
105,1,cisgender woman,17,Academic,Elementary,Morgan,3,2
106,1,cisgender woman,17,Academic,Elementary,Morgan,1,0.33
107,1,cisgender woman,18,Academic,Elementary,Morgan,1,0.5
108,1,cisgender woman,18,Academic,Elementary,Morgan,2,2
109,1,cisgender woman,17,Academic,Elementary,Morgan,1,2
110,1,cisgender man,17,Academic,Elementary,Morgan,1,1
111,1,cisgender woman,19,Academic,Elementary,Morgan,1,2
112,1,cisgender woman,18,Academic,Elementary,Morgan,2,3
113,1,cisgender woman,18,Academic,Elementary,Morgan,1,3
114,1,cisgender woman,18,Academic,Elementary,Morgan,2,2
115,1,cisgender woman,18,Academic,Elementary,Morgan,1,0.5
116,1,cisgender woman,18,Academic,Elementary,Morgan,1,2
117,1,cisgender man,18,Academic,Elementary,Morgan,1,2
118,1,cisgender woman,18,Academic,Elementary,Morgan,2,2
119,1,cisgender woman,18,Academic,Elementary,Morgan,3,2
120,1,cisgender woman,17,Academic,Elementary,Morgan,2,2
121,1,cisgender woman,17,Academic,Elementary,Morgan,1,1
122,1,cisgender man,19,Academic,Elementary,Morgan,2,1
123,1,cisgender man,19,Academic,Elementary,Morgan,2,1
124,1,cisgender man,18,Academic,Elementary,Morgan,1,1
125,1,cisgender man,18,Academic,Elementary,Morgan,2,0.5
126,1,cisgender man,21,Academic,Elementary,Morgan,0.5,0.5
127,1,nonbinary,17,Academic,High school,Jamie,2,2
